"","cost","eff"
"1",178.478319142308,18.4635579283869
"2",161.503086392144,18.465972705007
"3",233.145373801738,18.4558567575166
"4",178.350482024718,18.6012466388758
"5",178.606156259897,18.3258692178979
"6",176.801361531173,18.4632134588195
"7",179.037305012686,18.463672751576
"8",174.522431331111,18.4638234169825
"9",179.436577680423,18.4634936174848
"10",170.314862736957,18.4635579283869
"11",190.114659984957,18.4635579283869
"12",168.422061157025,18.4635579283869
"13",182.854119115238,18.4635579283869
"14",176.953111241806,18.4635579283869
"15",181.330860669193,18.4635579283869
"16",177.692344122,18.4779723889554
"17",179.264294162615,18.4491434678183
"18",171.350392133028,18.4635579283869
"19",218.244648773028,18.4635579283869
"20",160.961223893098,18.5218306320014
"21",204.753962016122,18.3761488729651
"22",178.346001176057,18.6012457184495
"23",178.742955074808,18.1881823482617
"24",180.109644011464,18.4633256260868
"25",171.743875451686,18.4645169199334
"26",163.283897812201,18.4635579283869
"27",208.865434294371,18.4635579283869
