"","cost","eff"
"1",292.570344377626,18.0064260966436
"2",276.671671325109,18.0086891672378
"3",335.414954262179,18.0003555144627
"4",292.226435972766,18.3724235352288
"5",292.914252782486,17.6404286580583
"6",284.303967525539,18.0059820769858
"7",295.325803328322,18.0065741031961
"8",292.570344377626,18.0064260966436
"9",292.570344377626,18.0064260966436
"10",270.870566585626,18.0064260966436
"11",323.501606585626,18.0064260966436
"12",264.754373216087,18.0064260966436
"13",304.673964435287,18.0064260966436
"14",289.058508339195,18.0064260966436
"15",299.138405119995,18.0064260966436
"16",289.60031573111,18.0448571476872
"17",295.540373024143,17.9679950455999
"18",292.570344377626,18.0064260966436
"19",292.570344377626,18.0064260966436
"20",292.570344377626,18.0064260966436
"21",292.570344377626,18.0064260966436
"22",292.204348125466,18.3724223488036
"23",293.302336881946,17.2744335923236
"24",292.570344377626,18.0064260966436
"25",292.570344377626,18.0064260966436
"26",278.036234128195,18.0064260966436
"27",321.636912441468,18.0064260966436
